cmd_id,title,failure_type,root_cause_category,recurrence,pi_candidate,runbook_candidate,instructions_candidate
cmd_528,lesson_candidateフォーマット強制 — レビューFAIL(スコープ外変更混入),review_fail,AC設計不備,yes(L138/L139/L140),IF impl cmd THEN ACに「スコープ外変更禁止」を明示せよ,,karo.md: レビュー時にdiff範囲とAC範囲の一致を必ず確認
cmd_536,lesson_done_source BLOCK根治,gate_block,手順書欠落,yes(cmd_529で再調査),lesson_done先行生成とpreflight upgradeの設計的不整合を解消すること,,ashigaru.md: lesson_done_sourceのフォーマットと生成タイミングを明記
cmd_583,Codex /fast自動化 — レビューFAIL,review_fail,AC設計不備,no,IF 環境設定系cmd THEN 全対象CLI/ペインで動作確認ACを必須化,,karo.md: 環境設定変更cmdはACに全ペイン検証を含めること
cmd_602,AWK部分文字列マッチ+date -dフォールバック欠如,rework(再レビュー),コード理解不足,no,IF AWKでID照合 THEN 部分文字列マッチではなく正規表現アンカー(^...$)を使え,cmd_complete_gate.sh修正時のテスト手順書(IDマッチング確認),
cmd_617,review_gate.sh typeフィールド未参照 — GATE BLOCK,gate_block,コード理解不足,no,IF ゲートスクリプトがタスク種別を判定 THEN type YAMLフィールドを第一判定条件とせよ,,
cmd_644,SPA遷移全ロールバック(8回失敗後の撤退),revert,知識不足,yes(cmd_631/636/637/639/641/642/643),Render Static Site環境ではnext/link SPA遷移は動作しない。window.location.href統一が正解,SPA遷移試行時のチェックリスト: (1)Static Export互換性 (2)SW干渉 (3)Portal内Link問題,projects/dm-signal.yaml: SPA遷移不可の事実をPI化
cmd_654,SPA Link化 — ハンバーガー/サイドバー動作不能,revert,知識不足,yes(cmd_644と同根),cmd_644と同一PI,,
cmd_682,Android接続バー/ボトムナビ — レビューFAIL(殿指摘と実装乖離),review_fail,AC設計不備,no,IF UI実装cmd THEN ACに殿の意図(非表示条件/エリア拡大)を具体的に記述せよ,,karo.md: UI cmdは殿の発言を逐語的にACに変換し曖昧さを排除
cmd_714,CI全緑化 — レビューFAIL(WSL2 vs CI環境差),review_fail,環境依存,yes(cmd_797/1046も同根),IF CIテスト修正 THEN WSL2とubuntu-latestの両環境で検証をACに含めよ,CI RED修復ランブック: (1)ローカル再現 (2)CI環境差分特定 (3)両環境PASS確認,
cmd_751,workers=2で本番認証障害 — 緊急revert,revert,知識不足,no,uvicorn workers複数化の前提: 全状態をDB/Redis等の共有ストアに移行すること。インメモリdictは使用不可,本番認証変更ランブック: (1)インメモリ状態の棚卸し (2)共有ストア移行 (3)workers=2テスト (4)段階デプロイ,projects/dm-signal.yaml: BE状態管理はDB保存必須(インメモリ禁止)
cmd_757,GATE CLEAR連勝リセット(377→0),gate_block,コード理解不足,no,,,
cmd_776,lesson_candidate旧形式BLOCK根治,gate_block,手順書欠落,yes(cmd_528から繰り返し),lesson_candidateはdict形式(found/title/detail/project)のみ許容。リスト形式[]禁止,,ashigaru.md: lesson_candidateフォーマット明記(既にcmd_776で自動修正導入済み)
cmd_795,done通知スクリプト化 — 再レビュー,rework(再レビュー),AC設計不備,no,,,
