lesson_id,project,summary,pi_found,runbook_found,instructions_found,pi_candidate,note
L416,dm-signal,np.where(cond; a/b; nan)はcondがFalseでもa/bを評価しb=0でWarning。np.maximum(b;1)でsafe denominator使用が簡潔。cmd_1080霧丸発見,FOUND,FOUND,FOUND,no,
L415,dm-signal,IF シン四神の過適合検証を設計する THEN CPCVを使うな BECAUSE (1)FoF材料は全天候である必要がない。一瞬のきらめきがあれば材料として価値がある (2)DM7+のような稀な逆張り(10年で2回発火)はCPCV 2年テス,FOUND,FOUND,FOUND,no,
L414,dm-signal,DM7+ 24M lookbackをRXLU固定でCPCV検定するとMax_Run-up PBOが1.0になりやすい。24M窓は変化が極めて緩慢でCPCVの短期テスト窓での性能安定性が低い,FOUND,FOUND,FOUND,no,
L413,dm-signal,DM7+でrelative=XLU(1銘柄)の場合、top_n=1とtop_n=2は完全同一リターンを生成する。relative1つではtop_n>=1は常に同じ選択になるため、GS探索空間でtop_n軸が冗長(48→24体に圧縮可能),FOUND,FOUND,FOUND,no,
L412,dm-signal,IF backend/app/constants.pyの定数を変更する THEN frontend/lib/constants.tsに同名・同目的の定数がないか確認し、あれば同時に変更せよ BECAUSE cmd_1076でBE MAX_P,FOUND,FOUND,MISSING,no,
L411,dm-signal,初回DM2実行時にBus error(core dump)。原因: 他GSプロセス(kasoku_diff等)並走でfree memory 4.1GBまで低下。MP_WORKERS=6のshared_memoryモードで合計メモリ不足。他プ,FOUND,FOUND,FOUND,no,
L410,dm-signal,run_077_*.pyのデータローダAPIがload_monthly_returns_dual_from_db→ load_monthly_returns_dual_from_universeに変更された際、,FOUND,FOUND,MISSING,yes,
L409,dm-signal,tobisaru偵察報告(cmd_1062)はoikazeのpct_changeボトルネックを分析し 「全忍法に横展開可能」と記載したが、nukimi/oikazeとも cmd_227 で,FOUND,FOUND,FOUND,no,
L408,dm-signal,cumret.pct_change(periods=N) → cum_values[N:]/cum_values[:-N]-1.0。 pandas Seriesの毎回構築オーバーヘッドが支配的(0.184ms/call)。,FOUND,FOUND,FOUND,no,
L407,dm-signal,picks vectorize argsort→nanmax+batch forward-fill の高速化効果はバッチ化するentry数に支配される。kasoku約240entries→54.9x; nukimi39entries→24.,FOUND,FOUND,FOUND,no,
L406,dm-signal,kasoku/nukimiのT3はtop_n=1でnanmax O(n)に置換し大幅改善。kawarimiはtop+bottom和集合選出のためargsort O(n log n)が不可避。主改善はargsort呼出回数削減30→1とfor,FOUND,FOUND,FOUND,no,
L405,dm-signal,nukimi momentum_cubeは最初から3D配列のため、kasokuのようにscore_cacheをnp.stackで3D化する手順が不要。忍法ごとにデータ構造が異なるため、横展開時は対象のメモリレイアウトを先に確認し、最適な適用,FOUND,FOUND,FOUND,no,
L404,dm-signal,picks構築のバッチ化が最大効果(argsort→nanmax+関数呼出し削減)。forward-fillバッチ化は中程度(関数呼出し削減のみ)。pack_picksはvariable-lengthのためバッチ化不可。ボトルネック支配率の,FOUND,FOUND,FOUND,no,
L403,dm-signal,top_n=1のときargsort(O(n log n))をnanmax(O(n))に置換可能。score_cache全エントリを3D arrayにスタックし240回のPython関数呼出しを1回のnumpy演算に集約。Python関数呼出,FOUND,FOUND,FOUND,no,
L402,dm-signal,cmd_1036 kirimaru Phase4,FOUND,FOUND,FOUND,no,
L401,dm-signal,cmd_1037 kotaro AC7統合,FOUND,FOUND,FOUND,no,
L400,dm-signal,cmd_1037 kotaro AC7統合,FOUND,FOUND,FOUND,no,
L399,dm-signal,cmd_1037 saizo角度6,FOUND,FOUND,FOUND,no,
L398,dm-signal,cmd_1037 hanzo角度5,FOUND,FOUND,FOUND,no,
L397,dm-signal,cmd_1037 kagemaru角度4,FOUND,FOUND,FOUND,no,
L396,dm-signal,cmd_1037 hayate角度3,FOUND,FOUND,FOUND,no,
L395,dm-signal,cmd_1037 kirimaru角度2,FOUND,FOUND,FOUND,no,
L394,dm-signal,cmd_1037 sasuke角度1,FOUND,FOUND,FOUND,no,
L393,dm-signal,grouped順+context cacheが効く小規模(150パターン)では、simulate_pattern逐次呼出しの方がsimulate_batch(毎回context構築)より速い場合がある。ベンチマークはスケール依存性に注意,FOUND,FOUND,FOUND,no,
L392,dm-signal,4視点union mask+numpy broadcastingの演算順序が逐次版と異なりFP丸め誤差が最大5.55e-17発生。ロジック差異ではない。strict 0.0判定で偽陽性になりうるため、パリティ検証は1e-12等の実用的閾値を,FOUND,FOUND,FOUND,no,
L391,dm-signal,GS版ranked_asc[:sel_n]と本番sorted_desc[-sel_n:]でtiebreak動作が異なる。3comp以上でselect_n=1同スコアタイ時にGS=index最小、本番=index最大。修正: 単一descソー,FOUND,FOUND,FOUND,yes,
