gap_type,source,content_summary,severity,recommended_action
欠落(高影響教訓),L032,"[infra] CLAUDE.md PJ固有セクション境界は##見出しレベルで識別 (helpful:20, inj:38)",high,高頻度参照の教訓。instructionsへの昇格を強く推奨
欠落(高影響教訓),L032,"[dm-signal] データ構造変更時は全使用箇所を確認せよ（2026-02-15） (helpful:20, inj:3)",high,高頻度参照の教訓。instructionsへの昇格を強く推奨
欠落(高影響教訓),L094,"[infra] scripts/shutsujin_departure.sh(session設定)にモデル名ハードコード残存 (helpful:12, inj:21)",high,高頻度参照の教訓。instructionsへの昇格を強く推奨
欠落(高影響教訓),L094,"[dm-signal] oikaze cutoff_score epsilon tolerance(1e-12)が必要 (helpful:12, inj:0)",high,高頻度参照の教訓。instructionsへの昇格を強く推奨
欠落(高影響教訓),L309,"[dm-signal] static export(output:'export')アプリでは<Link>SPA遷移を使うな — window.location.hrefで統一せよ (helpful:10, inj:0)",high,高頻度参照の教訓。instructionsへの昇格を強く推奨
根拠薄弱(ルールあり/教訓なし),L0048(NI-3),[Named Invariants] Evidence First: 問題は見つけた瞬間に記録し事実を先に書け,medium,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0051(NI-6),[Named Invariants] Learning Loop: AC完了ごとに二値チェック,medium,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
欠落(教訓あり/ルールなし),L164,[infra] Claude Code Hooksのshスクリプトはset -euのみ使用しpipefail禁止,medium,"IF-THENパターンをinstructionsに昇格検討 (helpful:2, injection:0)"
矛盾(分散),RPT-1+TYML-1+YFA-1,YAML操作ツール使い分け(field_get/yaml_field_set/report_field_set)が3箇所に分散。統合ガイドなし,medium,YAML操作ツール一覧表を1セクションにまとめ、用途別使い分けを明示
記述不足(教訓多数/ルール薄い),L0011(F001),"[Forbidden Actions] direct_shogun_report: 教訓51件マッチ (例:L229, L211, L210, L209, L189)",medium,教訓51件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0023(F003),"[Forbidden Actions] unauthorized_work: 教訓22件マッチ (例:L233, L172, L153, L140, L139)",medium,教訓22件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0028(F004),"[Forbidden Actions] polling: 教訓16件マッチ (例:L205, L204, L193, L114, L059)",medium,教訓16件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0033(F005),"[Forbidden Actions] skip_context_reading: 教訓25件マッチ (例:L242, L224, L220, L200, L076)",medium,教訓25件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0050(NI-5),"[Named Invariants] Review Is Read-only: 教訓38件マッチ (例:L239, L233, L218, L188, L186)",medium,教訓38件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0065(DEV-SCOPE),"[Deviation Management] スコープ制限: 教訓20件マッチ (例:L233, L172, L153, L140, L139)",medium,教訓20件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0106(WF-2.7),"[Workflow] acknowledged更新: 教訓24件マッチ (例:L230, L222, L185, L171, L146)",medium,教訓24件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0236(GIT-1),"[Commit Safety] commit除外: 教訓24件マッチ (例:L245, L220, L219, L218, L185)",medium,教訓24件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0320(RECON-DET),"[偵察タスク対応] detail形式: 教訓29件マッチ (例:L243, L233, L213, L183, L153)",medium,教訓29件の頻出知見を集約しinstructions拡充
記述不足(教訓多数/ルール薄い),L0429(REV-1),"[Code Review Rule] Read-only Default: 教訓47件マッチ (例:L239, L233, L218, L192, L190)",medium,教訓47件の頻出知見を集約しinstructions拡充
根拠薄弱(ルールあり/教訓なし),L0060(DEV-2),[Deviation Management] Blocker自力解決: ブロッカーは自分で解決,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0061(DEV-3),[Deviation Management] 必須品質自力追加: 必須品質は自分で追加,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0068(DEV-ESC),[Deviation Management] Escape Hatch: 自明な修正は確認せず実行し事後通知,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0076(STOP-2),[停止条件二分法] never_stop_for実行: never_stop_for該当は停止せずまず実行,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0095(WF-1),[Workflow] receive_wakeup: inboxからwakeup受信,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0098(WF-2),[Workflow] read_yaml: 自分のtask YAML読込,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0113(WF-4),[Workflow] execute_task: AC完了ごとに二値チェック,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0121(WF-5),[Workflow] write_report: 報告YAML作成,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0138(WF-6),[Workflow] done status: status=done,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0222(SELF-2),[Self-Identification] 影ファイル禁止: 新ファイルで既存ファイル回避するな,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0258(TSR-2),[Task Start Rule] eng_preferences確認: engineering_preferencesがあれば確認,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0263(TSR-4),[Task Start Rule] reports_to_read: reports_to_readの全報告YAML事前読込,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
根拠薄弱(ルールあり/教訓なし),L0319(RECON-REC),[偵察タスク対応] recommendation形式: 命令形。メニュー禁止,low,教訓による裏付けなし。根拠を確認し正当ならPI化、不要なら簡素化
